idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P7250	P7260	P7280	P7280s1	P7310	P7320	P7350	P7350s1	P7360	P7390	P7390s1	P7420	P7420s1	P7420s2	P7420s3	P7420s4	P7420s5	P7420s6	P7420s7	P7420s8	P7420s7a1	P7422	P7422s1	P9460	Oficio1	Oficio2	Rama2d_d	Dsi	Dscy	Rama4d_d	Mes	Dpto	empleado
3748051121	3748051	1	2	1	70	8	40	48	1		2	104	1		9	2										1		2		2	55	55	85	1	2	8511	6	8	0
3748061121	3748061	1	2	1	70	76	12	48	1		1							.									.				45			1	1		6	76	0
3748068111	3748068	1	1	1	70	73	10	48	1		2	10	1		9	8										1		2		2	97	97	11	1	1	1110	6	73	0
3748071121	3748071	1	2	1	70	73	16	48	3		2	4	3		1	7										1		1	600000	2	54	54	95	1	2	9500	6	73	0
3748085111	3748085	1	1	1	70	66	16	48	4		2	24	3		1	1										1		2		2	55	54	95	1	2	9500	6	66	0
3748087131	3748087	1	3	1	70	66	20	48	4		2	20	4		1	4										1		2		2	53	53	55	1	2	5529	6	66	0
3748089121	3748089	1	2	1	70	66	8	48	1		2	3	1		9	1										1		1	72000	2	39	97	1	1	1	123	6	66	0
3748097131	3748097	1	3	1	70	66	20	24	1		2	24	1		5	2										1		2		2	45	45	52	1	2	5233	6	66	0
3748104111	3748104	1	1	1	70	66	12	48	1		2	12	1		3	1										1		2		2	98	98	60	1	1	6022	6	66	0
3748169111	3748169	1	1	1	70	17	20	48	1		2	20	1		9	1					1							2		2	19	19	85	1	2	8532	6	17	0
3748174111	3748174	1	1	1	70	17	5	24	4		2	156	3		1	1										1		2		2	55	54	95	1	1	9500	6	17	0
3748179131	3748179	1	3	1	70	17	8	24	1		2	96	1		9	4										1		2		2	38	30	74	1	1	7421	6	17	0
3748227111	3748227	1	1	1	70	54	16	44	4		2	10	4		1	1										1		2		2	95	95	45	1	2	4521	6	54	0
3748247111	3748247	1	1	1	70	76	21	48	1		2	21	3		1	2										1		2		2	45	54	95	1	2	9500	6	76	0
3748258121	3748258	1	2	1	70	76	2	48	1		2	2	4		9	7										1		1	700000	2	58	97	15	1	1	1594	6	76	0
3748260121	3748260	1	2	1	70	76	104	70	1		1							.									.				39			1	2		6	76	0
3748295121	3748295	1	2	1	70	73	22	54	3		2	260	4		1	2										1		2		2	54	55	74	1	2	7493	6	73	0
3748295161	3748295	1	6	1	70	73	52	48	4		2	104	4		1	1										1		2		2	55	41	52	1	2	5239	6	73	0
3748345131	3748345	1	3	1	70	68	8	48	1		2	8	1		9	2										1		2		2	3	3	33	1	1	3311	6	68	0
3748347131	3748347	1	3	1	70	68	6	48	1		2	8	8		9	7										1		2		2	95	62	1	1	1	121	6	68	0
3748347141	3748347	1	4	1	70	68	8	50	1		2	8	1		7	7										1		2		2	53	53	55	1	1	5521	6	68	0
3748347151	3748347	1	5	1	70	68	4	48	1		2	6	1		7	7										1		2		2	53	99	45	1	1	4530	6	68	0
3748368121	3748368	1	2	1	70	68	6	48	1		2	6	1		9	7										1		2		2	97	97	1	1	1	123	6	68	0
3748368141	3748368	1	4	1	70	68	4	48	1		2	4	1		2	2										1		1	750000	2	45	45	52	1	1	5231	6	68	0
3748383121	3748383	1	2	1	70	68	8	48	4		2	8	4		1	1										1		2		2	80	80	19	1	1	1921	6	68	0
3748395111	3748395	1	1	1	70	50	3	48	4		2	3	1		2	1										1		2		2	45	95	45	1	1	4521	6	50	0
3748405111	3748405	1	1	1	70	50	4	48	1		2	3	1		2	1										1		1	960000	2	95	95	45	1	1	4521	6	50	0
3748410111	3748410	1	1	1	70	50	52	48	1		2	156	1		3	1										1		2		2	45	54	55	1	2	5511	6	50	0
3748414111	3748414	1	1	1	70	50	26	60	1		2	2	4		1	1										1		2		2	98	98	60	1	2	6031	6	50	0
3748434111	3748434	1	1	1	70	66	4	48	1		2	4	4		1	3										1		1	1000000	2	5	45	52	1	1	5262	6	66	0
3748435121	3748435	1	2	1	70	66	26	48	1		2	84	1		9	2										1		2		2	59	39	85	1	2	8514	6	66	0
3748440121	3748440	1	2	1	70	66	24	48	2		2	42	4		1	2										1		2		2	7	7	85	1	2	8515	6	66	0
3748443121	3748443	1	2	1	70	66	12	48	2		2	12	4		9	1			1									2		2	13	13	80	1	1	8060	6	66	0
3748458131	3748458	1	3	1	70	54	3	48	3		2	6	4		1	1										1		2		2	54	53	55	1	1	5529	6	54	0
3748463141	3748463	1	4	1	70	54	4	48	1		2	4	2		9	2										1		1	450000	2	58	58	75	1	1	7522	6	54	0
3748489111	3748489	1	1	1	70	17	40	42	3		1							.									.				54			1	2		6	17	0
3748516141	3748516	1	4	1	70	17	8	48	1		2	3	1		2	2										1		1	70000	2	83	95	45	1	1	4521	6	17	0
3748517131	3748517	1	3	1	70	17	1	20	1		2	24	1		2	2										1		2		2	37	39	92	1	1	9214	6	17	0
3748518121	3748518	1	2	1	70	17	16	60	3		2	260	4		1	1										1		2		2	54	55	74	1	2	7493	6	17	0
3748519121	3748519	1	2	1	70	17	1	48	1		2	24	4		1	1										1		2		2	55	55	74	1	1	7493	6	17	0
3748521111	3748521	1	1	1	70	17	3	60	1		2	28	4		1	1										1		2		2	98	98	60	1	1	6031	6	17	0
3748522121	3748522	1	2	1	70	17	1	48	1		2	52	1		3	1										1		2		2	45	53	55	1	1	5521	6	17	0
3748523111	3748523	1	1	1	70	17	4	40	1		2	8	1		9	2										1		2		2	59	59	85	1	1	8512	6	17	0
3748524131	3748524	1	3	1	70	17	2	40	1		2	6	1		9	2										1		2		2	45	33	52	1	1	5211	6	17	0
3748529111	3748529	1	1	1	70	76	104	45	1		2	208	1		9	1										1		2		2	55	55	75	1	2	7523	6	76	0
3748529121	3748529	1	2	1	70	76	8	30	4		2	52	4		1	1										1		2		2	17	17	92	1	1	9214	6	76	0
3748532111	3748532	1	1	1	70	76	13	48	1		2	14	1		3	6										1		2		2	53	53	55	1	1	5521	6	76	0
3748549111	3748549	1	1	1	70	76	6	48	1		2	7	1		9	2										1		2		2	45	45	15	1	1	1581	6	76	0
3748558131	3748558	1	3	1	70	76	4	40	1		1							.									.				55			1	1		6	76	0
3748740121	3748740	1	2	1	70	73	48	20	4		2	96	4		1	2										1		2		2	90	38	64	1	2	6421	6	73	0
3748742131	3748742	1	3	1	70	73	2	48	1		2	2	1		9	1										1		1	644350	2	45	45	24	1	1	2424	6	73	0
3748743111	3748743	1	1	1	70	73	8	48	1		2	6	1		7	3										1		2		2	39	39	51	1	1	5139	6	73	0
3748749121	3748749	1	2	1	70	73	2	40	4		2	7	4		1	2										1		2		2	45	54	85	1	1	8532	6	73	0
3748755111	3748755	1	1	1	70	73	12	48	4		2	99	1		2	1										1		2		2	55	55	70	1	1	7020	6	73	0
3748760131	3748760	1	3	1	70	73	24	20	1		1							.									.				99			1	2		6	73	0
3748762121	3748762	1	2	1	70	73	2	48	8		2	2	8		3	1										1		1	400000	2	62	62	1	1	1	111	6	73	0
3748763111	3748763	1	1	1	70	73	2	48	8		2	3	8		3	1										1		1	800000	2	62	62	1	1	1	111	6	73	0
3748763171	3748763	1	7	1	70	73	2	48	4		2	12	4		1	7										1		2		2	45	45	51	1	1	5155	6	73	0
3748766171	3748766	1	7	1	70	73	24	48	1		2	24	1		3	1										1		2		2	54	79	19	1	2	1939	6	73	0
3748770131	3748770	1	3	1	70	73	18	48	1		2	65	1		2	1										1		2		2	7	7	85	1	2	8513	6	73	0
3748772111	3748772	1	1	1	70	73	12	80	1		2	56	1		4	4										1		2		2	98	98	60	1	1	6042	6	73	0
3748774141	3748774	1	4	1	70	73	12	48	1		2	120	1		3	4										1		2		2	13	13	80	1	1	8060	6	73	0
3748783141	3748783	1	4	1	70	68	4	40	1		2	156	4		5	2										1		2		2	12	59	85	1	1	8531	6	68	0
3748786151	3748786	1	5	1	70	68	4	20	4		2	156	4		1	2										1		2		2	57	57	93	1	1	9309	6	68	0
3748796141	3748796	1	4	1	70	68	20	48	1		2	24	1		9	4										1		2		2	8	38	74	1	2	7499	6	68	0
3748798252	3748798	2	5	2	70	68	3	50	1		2	3	1		9	4										1		1	120000	2	93	55	45	1	1	4521	6	68	0
3748800171	3748800	1	7	1	70	68	4	48	1		2	52	4		1	2										1		2		2	45	80	19	1	1	1921	6	68	0
