Año y mes	Promedio	Fin de mes
ene-50	1,96	1,96
feb-50	1,96	1,96
mar-50	1,96	1,96
abr-50	1,96	1,96
may-50	1,96	1,96
jun-50	1,96	1,96
jul-50	1,96	1,96
ago-50	1,96	1,96
sep-50	1,96	1,96
oct-50	1,96	1,96
nov-50	1,96	1,96
dic-50	1,96	1,96
ene-51	1,96	1,96
feb-51	1,96	1,96
mar-51	2,15	2,15
abr-51	2,51	2,51
may-51	2,51	2,51
jun-51	2,51	2,51
jul-51	2,51	2,51
ago-51	2,51	2,51
sep-51	2,51	2,51
oct-51	2,51	2,51
nov-51	2,51	2,51
dic-51	2,51	2,51
ene-52	2,51	2,51
feb-52	2,51	2,51
mar-52	2,51	2,51
abr-52	2,51	2,51
may-52	2,51	2,51
jun-52	2,51	2,51
jul-52	2,51	2,51
ago-52	2,51	2,51
sep-52	2,51	2,51
oct-52	2,51	2,51
nov-52	2,51	2,51
dic-52	2,51	2,51
ene-53	2,51	2,51
feb-53	2,51	2,51
mar-53	2,51	2,51
abr-53	2,51	2,51
may-53	2,51	2,51
jun-53	2,51	2,51
jul-53	2,51	2,51
ago-53	2,51	2,51
sep-53	2,51	2,51
oct-53	2,51	2,51
nov-53	2,51	2,51
dic-53	2,51	2,51
ene-54	2,51	2,51
feb-54	2,51	2,51
mar-54	2,51	2,51
abr-54	2,51	2,51
may-54	2,51	2,51
jun-54	2,51	2,51
jul-54	2,51	2,51
ago-54	2,51	2,51
sep-54	2,51	2,51
oct-54	2,51	2,51
nov-54	2,51	2,51
dic-54	2,51	2,51
ene-55	2,51	2,51
feb-55	2,51	2,51
mar-55	2,51	2,51
abr-55	2,51	2,51
may-55	2,51	2,51
jun-55	2,51	2,51
jul-55	2,51	2,51
ago-55	2,51	2,51
sep-55	2,51	2,51
oct-55	2,51	2,51
nov-55	2,51	2,51
dic-55	2,51	2,51
ene-56	2,51	2,51
feb-56	2,51	2,51
mar-56	2,51	2,51
abr-56	2,51	2,51
may-56	2,51	2,51
jun-56	2,51	2,51
jul-56	2,51	2,51
ago-56	2,51	2,51
sep-56	2,51	2,51
oct-56	2,51	2,51
nov-56	2,51	2,51
dic-56	2,51	2,51
ene-57	2,51	2,51
feb-57	2,51	2,51
mar-57	2,51	2,51
abr-57	2,51	2,51
may-57	2,51	2,51
jun-57	2,51	2,51
jul-57	4,81	4,80
ago-57	4,90	4,99
sep-57	5,12	5,04
oct-57	5,10	5,06
nov-57	5,20	5,30
dic-57	5,38	5,42
ene-58	5,61	5,88
feb-58	6,01	6,16
mar-58	6,11	6,10
abr-58	6,64	6,64
may-58	6,77	6,72
jun-58	6,80	6,81
jul-58	6,74	6,63
ago-58	6,52	6,51
sep-58	6,38	6,43
oct-58	6,40	6,41
nov-58	6,42	6,39
dic-58	6,40	6,40
ene-59	6,40	6,40
feb-59	6,40	6,40
mar-59	6,40	6,40
abr-59	6,40	6,40
may-59	6,40	6,40
jun-59	6,40	6,40
