idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	Area	P6440	P6450	P6460	P6460s1	P6400	P6422	P6424s2	P6424s3	P6424s1	P6426	P6430s1	P6480	P6480s1	P6500	P6510	P6510s1	P6510s2	P6590	P6590s1	P6600	P6600s1	P6610	P6610s1	P6620	P6620s1	P6585s2a1	P6585s3a1	P6585s4a1	P6585s3a2	P6585s2a2	P6585s1a2	P6585s2	P6585s3	P6585s1a1	P6585s4	P6585s1	P6580	P6580s1	P6580s2	P6630s3	P6630s4a1	P6630s3a1	P6630s2a1	P6630s1a1	P6630s4	P6630s2	P6630s1	P6640	P6765	P6765s1	P6772	P6750	P6760	P550	P6780	P6780s1	P6790	P6410	P6640s1	P9440	P6630s6	P6630s6a1	P6410s1	P6545s1	P6545	P6545s2	P6585s4a2	P6773s1	P6775	P6772s1	P388	P6800	P6810	P6810s1	P6850	P6830	P6830s1	P6870	P6880	P6880s1	P6920	P6930	P6940	P6960	P6980	P6980s1	P6980s2	P6980s3	P6980s4	P6980s5	P6980s6	P6980s7	P6980s8	P6980s7a1	P6990	P7020	P7026	P7028	P7028s1	P7040	P7045	P7050	P7050s1	P7070	P760	P9450	P6915s1	P6915	P7075	P7077	P390	P7090	P7100	P7110	P7120	P7130	P7140	P7140s1	P7140s2	P7140s3	P7140s4	P7140s5	P7140s6	P7140s7	P7140s8	P7140s9	P7140s9a1	P7150	P7160	P7170s1	P7170s5	P7170s6	P7180	P7240	P7240s1	P514	P515	Oficio	Rama2d	Oci	P6430	Rama4d	Rama4dp8	Rama2dp8	Inglabo	Mes	Dpto	empleado
3748026111	3748026	1	1	1	60	17	1	1			1	1	2	2	2	48																																							6			600000	1		3		12												2		17	60		.	60			1	4		1	1	2	10	1	1									1	1	84	4		2					6	2		1				2				1	1	1	1	1	1	2	2	1	1	2		2	1	2	2	2	2	5		1	1	98	60	1	4	6031			600000	6	17	1
3748027111	3748027	1	1	1	60	17	2									468																																							6			2400000	1		3		9												2		17	30	2		30			1	7		2				1								1		2	1	2	1		2					2	2		1				2				2														1	2	1	2	8		1	1	2	74	1	4	7421			2400000	6	17	1
3748027121	3748027	1	2	1	60	17	2									120																																							6			800000	1		3		12												2		17	60		.	60			1	1		2				1								1		2	1	144	1		2					0	2		1				2				2														1	1	1	2	3		1	1	79	17	1	4	1749			800000	6	17	1
3748028111	3748028	1	1	1	60	17	2									600																																							7		2	900000	1		3		12												2		17	56		.	56			2	1		2				1								1		2	1	12	1		2					0	2		2				2				2														1	1	1	2	8		1	1	79	18	1	4	1810			900000	6	17	1
3748028121	3748028	1	2	1	60	17	2									240																																								.						.	12														17	30	2		24	6		2	1		2				1								1		2	2				2						2		2				2				2														1	2	1	2	3		1	1	79	18	1	6	1810				6	17	1
3748029111	3748029	1	1	1	60	17	2									12																																							6			1000000	1		3		12												2		17	24	1		24			1	1		2				1								1		2	1	72	1		2					0	2		10				1	24	2	1	2														1	2	2	2	8		1	1	53	55	1	4	5521			1000000	6	17	1
3748031111	3748031	1	1	1	60	17	2									264																																							6			280000	1		3		12												2		17	30	2		30			1	2		2				1						1				2	1	192	1		2					0	2		2				1	10	2	1	1	1	2	1	2	2	2	1	1	2	2		2	1	2	2	1	2	3		2	1	55	74	1	4	7493			280000	6	17	1
3748032111	3748032	1	1	1	60	17	1	2	1		1	1	2	1	1	104		1		700000	2			2		2		2		2		73944	50000		2	2		1	1		2	2	2			1	1500000	335000	670000	670000	1	1	1	2		.						.	12			2	2				2						17	60		.	0	1		9	7		1	1	1	18	1	1									1	1	48	1		2					0	1		1				2				2														1	1	1	2	3		1	2	44	35	1	1	3591			700000	6	17	1
3748032121	3748032	1	2	1	60	17	1	2	1		2	2	2	1	2	2		4		400000	2			2		2		2		2		73944				2		1	2		2	2	2			2					2	2	2	1									3	1	5	2	2				2						17	30	1		30			9	7		1	1	1	0	1	1									1	1	1	1		2					0	2		1				1	18	2	2	1	1	1	1	2	1	2	1	2	1	2		2	1	2	2	2	2	3		2	1	38	74	1	1	7499	7491	74	400000	6	17	1
3748036111	3748036	1	1	1	60	17	1	2	2	11	1	2	2	2	2	84																																							1			2300000	1		3		12												2		17	40		.	40			9	7		1	1	2	7	1	1									1	2				2						2		1				1	10	2	1	2														1	2	1	2	2		1	1	21	80	1	4	8050			2300000	6	17	1
3748038121	3748038	1	2	1	60	17	1	2	1		1	1	2	2	1	240		1		15000000	2			2		2		2		2								2	2		2	2	2			2	12000000				1	2	2	2		.						.	12			2	2				2						17	50		.	50			9	7		1	1	1	23	1			1							1	1	18	1		2					0	1		1				2				2														1	1	1	2	2		1	1	21	19	1	1	1929			15000000	6	17	1
3748038131	3748038	1	3	1	60	17	1	2	1		1	1	2	2	1	22		1		644350	2			1	480000	1	150000	2		2								2	2		2	2	2			2					2	2	2	2		.						.	12			2	2				2						17	60		.	60			1	1		1	1	1	1	1								1		1	1	12	1		2					0	2		1				2				2														1	1	1	2	3		1	1	54	95	1	3	9500			1274350	6	17	1
