idcomp	Directorio	Secuencia_p	Orden	Hogar	Regis	P6016	P6020	P6030	P6030s1	P6030s3	P6040	P6050	P6070	P6090	P6140	P6150	P6100	P6110	P6120	P6125	P6160	P6170	P6175	P6210	P6210s1	P6220	Area	Esc	Mes	Dpto
3748023111	3748023	1	1	1	10	1	2	1	8	1925	89	1	5	1			1	3	80544	2	1	2		3	2		17	2	6	17
3748023121	3748023	1	2	1	10	2	1	1	3	1949	66	3	4	1			1	2	77322	1	1	2		6	4	2	17	15	6	17
3748023131	3748023	1	3	1	10	3	2	1	11	1988	26	4	6	1			3			2	1	1	1	6	3	2	17	14	6	17
3748026111	3748026	1	1	1	10	1	1	1	2	1963	52	1	3	1			1	3	80544	2	1	2		3	5		17	5	6	17
3748027111	3748027	1	1	1	10	1	1	1	5	1949	66	1	4	1			1	3	80544	2	1	2		6	5	4	17	16	6	17
3748027121	3748027	1	2	1	10	2	2	1	1	1945	70	5	6	1			1	3	80544	2	1	2		5	10	1	17	10	6	17
3748028111	3748028	1	1	1	10	1	1	1	4	1941	74	1	3	1			3			2	1	2		3	5		17	5	6	17
3748028121	3748028	1	2	1	10	2	2	1	5	1968	47	2	3	1			3			2	1	2		3	4		17	4	6	17
3748029111	3748029	1	1	1	10	1	2	1	7	1973	41	1	6	2	1	1				2	1	2		5	11	2	17	11	6	17
3748031111	3748031	1	1	1	10	1	2	1	4	1943	72	1	4	1			3			2	1	2		3	5		17	5	6	17
3748032111	3748032	1	1	1	10	1	2	1	11	1976	38	1	6	1			1	1	28000	2	1	2		5	11	2	17	11	6	17
3748032121	3748032	1	2	1	10	2	2	1	11	1996	18	3	6	1			1	1	18900	2	1	1	1	5	11	2	17	11	6	17
3748032131	3748032	1	3	1	10	1	2	1	5	2002	13	3	6	1			1	5		2	1	1	1	3	5		17	5	6	17
3748032141	3748032	1	4	1	10	1	1	1	12	2004	10	3	6	1			1	5		2	1	1	1	3	3		17	3	6	17
3748034111	3748034	1	1	1	10	1	1	1	2	1947	68	1	4	1			2	2	300000	2	1	2		6	4	4	17	15	6	17
3748035111	3748035	1	1	1	10	1	2	1	8	1955	59	1	6	1			1	2	576000	2	1	2		6	11	5	17	22	6	17
3748036111	3748036	1	1	1	10	1	1	1	10	1980	34	1	6	1			1	3	115000	2	1	2		6	6	5	17	17	6	17
3748037111	3748037	1	1	1	10	1	2	1	11	1948	66	1	6	1			2	2	480000	2	1	2		6	8	5	17	19	6	17
3748038111	3748038	1	1	1	10	1	2	1	4	1948	67	1	6	1			2	2	480000	2	1	2		6	4	4	17	15	6	17
3748038121	3748038	1	2	1	10	2	1	1	9	1970	44	5	4	1			1	1	280000	2	1	2		6	5	4	17	16	6	17
3748038131	3748038	1	3	1	10	3	2	1	1	1983	32	6	3	1			1	1	25774	2	1	2		3	5		17	5	6	17
3748039111	3748039	1	1	1	10	1	1	1	5	1947	68	1	3	1			1	2	780000	2	1	2		6	5	4	17	16	6	17
